year,adm_1,best
#date+year,#adm1+name,#affected+killed
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Oromiya state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Oromiya state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Oromiya state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2004,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,22
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Oromiya state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,0
2005,Somali state,36
2005,Somali state,0
2006,Somali state,25
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2006,Somali state,0
2007,Somali state,5
2007,Somali state,25
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,24
2007,Somali state,3
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,1
2007,Somali state,0
2007,Somali state,3
2007,Somali state,30
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Oromiya state,0
2007,Somali state,0
2007,Somali state,3
2007,Somali state,0
2007,Somali state,48
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,6
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,4
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2007,Somali state,0
2008,Somali state,25
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2008,Somali state,0
2009,Somali state,1
2009,Somali state,12
2009,Somali state,14
2009,Somali state,15
2009,Somali state,0
2009,Somali state,25
2009,Somali state,0
2009,Somali state,2
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,4
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Harari state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,0
2009,Somali state,400
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,1
2010,Somali state,1
2010,Somali state,0
2010,Somali state,1
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
2010,Somali state,0
